"","Drug","log2MIC","Gene","log2FC"
"1","Ethi",-3,"gene1",-0.308188866
"2","Ethi",-2,"gene1",-0.533873729
"3","Ethi",-1,"gene1",0.310024418
"4","Ethi",0,"gene1",0.033713236
"5","Ethi",1,"gene1",-0.095198537
"6","Ethi",2,"gene1",-0.824568238
"7","Ethi",3,"gene1",-1.337741498
"8","KasA",-3,"gene1",-0.422700685
"9","KasA",-2,"gene1",-0.051412223
"10","KasA",-1,"gene1",-0.50895283
"11","KasA",0,"gene1",-1.008496128
"12","KasA",1,"gene1",-0.938420631
"13","KasA",2,"gene1",-1.593515438
"14","KasA",3,"gene1",-3.226124555
"15","Etha",-3,"gene1",0.566037098
"16","Etha",-2,"gene1",0.788097599
"17","Etha",-1,"gene1",2.030907367
"18","Etha",0,"gene1",1.812651621
"19","Etha",1,"gene1",-0.120453749
"20","Etha",2,"gene1",-1.035468001
"21","Etha",3,"gene1",-0.812350627
"22","Cipro",-3,"gene1",0.274648135
"23","Cipro",-2,"gene1",0.800184587
"24","Cipro",-1,"gene1",0.869476888
"25","Cipro",0,"gene1",1.448559586
"26","Cipro",1,"gene1",1.795451265
"27","Cipro",2,"gene1",2.932013548
"28","Cipro",3,"gene1",-1.631364496
"29","Levo",-3,"gene1",0.061515342
"30","Levo",-2,"gene1",1.05742348
"31","Levo",-1,"gene1",1.228545765
"32","Levo",0,"gene1",1.011890232
"33","Levo",1,"gene1",-2.370493897
"34","Levo",2,"gene1",-1.61391875
"35","Levo",3,"gene1",-4.040123268
"36","PAS",-3,"gene1",0.582977105
"37","PAS",-2,"gene1",0.853886088
"38","PAS",-1,"gene1",0.495074817
"39","PAS",0,"gene1",0.792298289
"40","PAS",1,"gene1",1.428339572
"41","PAS",2,"gene1",2.049117527
"42","PAS",3,"gene1",0.864612494
"43","Line",-3,"gene1",-0.944207969
"44","Line",-2,"gene1",-2.017971245
"45","Line",-1,"gene1",-1.785905818
"46","Line",0,"gene1",-1.130662011
"47","Line",1,"gene1",-1.967317611
"48","Line",2,"gene1",-1.965967766
"49","Line",3,"gene1",-1.782507241
"50","Rif",-3,"gene1",0.044569456
"51","Rif",-2,"gene1",0.443683509
"52","Rif",-1,"gene1",-0.018220595
"53","Rif",0,"gene1",-0.453205961
"54","Rif",1,"gene1",-1.167202336
"55","Rif",2,"gene1",-1.708441583
"56","Rif",3,"gene1",-2.745515016
"57","Ethi",-3,"gene2",-0.727117808
"58","Ethi",-2,"gene2",-0.5792426
"59","Ethi",-1,"gene2",0.143479899
"60","Ethi",0,"gene2",-0.190952105
"61","Ethi",1,"gene2",-0.297028793
"62","Ethi",2,"gene2",-0.551750722
"63","Ethi",3,"gene2",-1.19434004
"64","KasA",-3,"gene2",-0.293980329
"65","KasA",-2,"gene2",0.330081495
"66","KasA",-1,"gene2",-0.077207795
"67","KasA",0,"gene2",-0.774625597
"68","KasA",1,"gene2",-0.381808694
"69","KasA",2,"gene2",-0.080846473
"70","KasA",3,"gene2",-1.742477571
"71","Etha",-3,"gene2",0.353389306
"72","Etha",-2,"gene2",0.080927961
"73","Etha",-1,"gene2",0.824093371
"74","Etha",0,"gene2",1.672777505
"75","Etha",1,"gene2",0.085889944
"76","Etha",2,"gene2",-0.609975085
"77","Etha",3,"gene2",-0.724460802
"78","Cipro",-3,"gene2",0.520929849
"79","Cipro",-2,"gene2",1.194313543
"80","Cipro",-1,"gene2",0.669237224
"81","Cipro",0,"gene2",1.706559283
"82","Cipro",1,"gene2",1.692300407
"83","Cipro",2,"gene2",3.770330003
"84","Cipro",3,"gene2",-1.568781432
"85","Levo",-3,"gene2",0.359706222
"86","Levo",-2,"gene2",0.774695483
"87","Levo",-1,"gene2",1.00235017
"88","Levo",0,"gene2",1.5366248
"89","Levo",1,"gene2",-2.021501515
"90","Levo",2,"gene2",-1.091476249
"91","Levo",3,"gene2",-4.136978733
"92","PAS",-3,"gene2",0.811554911
"93","PAS",-2,"gene2",0.880084528
"94","PAS",-1,"gene2",0.2669348
"95","PAS",0,"gene2",0.134167558
"96","PAS",1,"gene2",0.085163556
"97","PAS",2,"gene2",0.429238104
"98","PAS",3,"gene2",0.029146346
"99","Line",-3,"gene2",-1.216666112
"100","Line",-2,"gene2",-2.502068331
"101","Line",-1,"gene2",-2.116926664
"102","Line",0,"gene2",-2.027014524
"103","Line",1,"gene2",-2.11791923
"104","Line",2,"gene2",-1.83830785
"105","Line",3,"gene2",-1.923599593
"106","Rif",-3,"gene2",0.277344287
"107","Rif",-2,"gene2",0.590652263
"108","Rif",-1,"gene2",0.554159229
"109","Rif",0,"gene2",-1.064885732
"110","Rif",1,"gene2",-1.434065739
"111","Rif",2,"gene2",-2.408579415
"112","Rif",3,"gene2",-3.071032441
"113","Ethi",-3,"gene3",-0.402952025
"114","Ethi",-2,"gene3",-0.570584678
"115","Ethi",-1,"gene3",0.254857242
"116","Ethi",0,"gene3",0.013870814
"117","Ethi",1,"gene3",-0.159862448
"118","Ethi",2,"gene3",-1.070173167
"119","Ethi",3,"gene3",-1.084940615
"120","KasA",-3,"gene3",-0.16863987
"121","KasA",-2,"gene3",0.205473111
"122","KasA",-1,"gene3",-0.261627585
"123","KasA",0,"gene3",-0.572162414
"124","KasA",1,"gene3",-0.878704618
"125","KasA",2,"gene3",-1.39502671
"126","KasA",3,"gene3",-2.73306114
"127","Etha",-3,"gene3",0.54459347
"128","Etha",-2,"gene3",0.822831426
"129","Etha",-1,"gene3",1.746867975
"130","Etha",0,"gene3",1.186811164
"131","Etha",1,"gene3",-0.241790025
"132","Etha",2,"gene3",-0.988959398
"133","Etha",3,"gene3",-0.802109619
"134","Cipro",-3,"gene3",0.274366696
"135","Cipro",-2,"gene3",0.783959534
"136","Cipro",-1,"gene3",1.024525551
"137","Cipro",0,"gene3",1.466456785
"138","Cipro",1,"gene3",1.706151271
"139","Cipro",2,"gene3",2.594962458
"140","Cipro",3,"gene3",-1.781359714
"141","Levo",-3,"gene3",-0.147387663
"142","Levo",-2,"gene3",0.767451686
"143","Levo",-1,"gene3",0.983602349
"144","Levo",0,"gene3",0.719908145
"145","Levo",1,"gene3",-2.627642822
"146","Levo",2,"gene3",-1.74372824
"147","Levo",3,"gene3",-4.174745779
"148","PAS",-3,"gene3",0.549957328
"149","PAS",-2,"gene3",0.752823126
"150","PAS",-1,"gene3",0.382454676
"151","PAS",0,"gene3",0.609507317
"152","PAS",1,"gene3",1.226209798
"153","PAS",2,"gene3",2.125439869
"154","PAS",3,"gene3",1.116401026
"155","Line",-3,"gene3",-0.988386351
"156","Line",-2,"gene3",-1.898729961
"157","Line",-1,"gene3",-1.563724151
"158","Line",0,"gene3",-0.909909172
"159","Line",1,"gene3",-1.656454115
"160","Line",2,"gene3",-1.812284287
"161","Line",3,"gene3",-1.624107581
"162","Rif",-3,"gene3",-0.01013764
"163","Rif",-2,"gene3",0.338566962
"164","Rif",-1,"gene3",-0.105552284
"165","Rif",0,"gene3",-0.5029388
"166","Rif",1,"gene3",-1.234297082
"167","Rif",2,"gene3",-1.829249277
"168","Rif",3,"gene3",-2.774751321
"169","Ethi",-3,"gene4",-0.253099428
"170","Ethi",-2,"gene4",-0.47950921
"171","Ethi",-1,"gene4",0.401149844
"172","Ethi",0,"gene4",0.055248364
"173","Ethi",1,"gene4",-0.026656839
"174","Ethi",2,"gene4",-0.907311438
"175","Ethi",3,"gene4",-1.237293538
"176","KasA",-3,"gene4",-0.37076357
"177","KasA",-2,"gene4",-0.006831849
"178","KasA",-1,"gene4",-0.585762609
"179","KasA",0,"gene4",-1.273893635
"180","KasA",1,"gene4",-1.371280804
"181","KasA",2,"gene4",-1.823509414
"182","KasA",3,"gene4",-3.363756113
"183","Etha",-3,"gene4",0.59716689
"184","Etha",-2,"gene4",0.730094117
"185","Etha",-1,"gene4",2.112598065
"186","Etha",0,"gene4",1.888339124
"187","Etha",1,"gene4",0.44723738
"188","Etha",2,"gene4",-0.496964545
"189","Etha",3,"gene4",-0.389438024
"190","Cipro",-3,"gene4",0.278762233
"191","Cipro",-2,"gene4",0.752820246
"192","Cipro",-1,"gene4",0.813994876
"193","Cipro",0,"gene4",1.354328994
"194","Cipro",1,"gene4",1.66909307
"195","Cipro",2,"gene4",2.207640582
"196","Cipro",3,"gene4",-1.740031897
"197","Levo",-3,"gene4",-0.193579522
"198","Levo",-2,"gene4",0.916112519
"199","Levo",-1,"gene4",1.227762378
"200","Levo",0,"gene4",0.735899587
"201","Levo",1,"gene4",-2.090602549
"202","Levo",2,"gene4",-1.862650602
"203","Levo",3,"gene4",-3.670005524
"204","PAS",-3,"gene4",0.503014579
"205","PAS",-2,"gene4",0.898902123
"206","PAS",-1,"gene4",0.67191092
"207","PAS",0,"gene4",1.200524644
"208","PAS",1,"gene4",1.57417492
"209","PAS",2,"gene4",2.323493808
"210","PAS",3,"gene4",1.611076975
"211","Line",-3,"gene4",-0.942574607
"212","Line",-2,"gene4",-2.137161662
"213","Line",-1,"gene4",-1.924154328
"214","Line",0,"gene4",-1.095399334
"215","Line",1,"gene4",-1.866914487
"216","Line",2,"gene4",-2.342089308
"217","Line",3,"gene4",-1.749976918
"218","Rif",-3,"gene4",0.048840946
"219","Rif",-2,"gene4",0.365870783
"220","Rif",-1,"gene4",-0.19849436
"221","Rif",0,"gene4",-0.597905119
"222","Rif",1,"gene4",-1.277953442
"223","Rif",2,"gene4",-1.700522104
"224","Rif",3,"gene4",-2.939973163
"225","Ethi",-3,"gene5",-0.240766406
"226","Ethi",-2,"gene5",-0.349035617
"227","Ethi",-1,"gene5",0.298230241
"228","Ethi",0,"gene5",0.072590699
"229","Ethi",1,"gene5",-0.288030231
"230","Ethi",2,"gene5",-1.19719509
"231","Ethi",3,"gene5",0.137841884
"232","KasA",-3,"gene5",-0.310227341
"233","KasA",-2,"gene5",-0.266327694
"234","KasA",-1,"gene5",-1.126642061
"235","KasA",0,"gene5",-1.746395007
"236","KasA",1,"gene5",-2.293428052
"237","KasA",2,"gene5",-1.824689533
"238","KasA",3,"gene5",-1.73331518
"239","Etha",-3,"gene5",0.423199624
"240","Etha",-2,"gene5",0.19759996
"241","Etha",-1,"gene5",0.662928348
"242","Etha",0,"gene5",0.228846555
"243","Etha",1,"gene5",0.414340713
"244","Etha",2,"gene5",-0.096652569
"245","Etha",3,"gene5",-0.057559123
